id,cycle,setting1,setting2,setting3,concentration,flow_rate,compression,pressure,volume,mats,dense,volt,cap,stdev,temp,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,ttf,ts
6,35826,-25787.93,70231.65,-54742.355,76488.445,-56347.152,55586.637,-81294.95,5679.8823,-51458.465,91934.78,-1958.0831,-66070.16,64794.36,68669.164,14933.336,-75851.79,73270.41,-54405.81,-22238.088,69315.3,88164.31,26986.822,-65846.89,-305.27094,73613,1648988502
6,-6798,-32449.691,-77189.0,36091.117,74072.27,94388.37,30651.611,95043.875,-58417.37,-50052.227,-34726.18,-70330.42,96102.4,20041.426,-62944.836,-11748.778,58211.09,-83960.21,-10061.835,48513.688,66116.43,-34474.547,77674.97,14833.834,2679.1638,-77718,3107745086
6,-60248,12585.696,71480.82,-10526.81,-54804.23,1169.3427,-33202.527,18432.137,-30593.22,-36185.3,-48751.72,-55274.355,9209.606,39598.438,75589.66,-63685.59,-36426.645,66567.49,89047.94,-22279.023,29971.541,-19491.633,96268.29,-85259.484,29155.334,-22523,115921528
6,37451,-61977.562,57299.96,-64035.523,19741.727,30726.809,-24289.125,-81834.24,89182.47,-33867.27,-27862.766,48072.164,77973.71,-57957.836,97167.695,70946.8,-19772.305,32794.152,-42054.945,91646.61,-68148.62,-71506.12,-32652.46,58746.496,-63014.906,70642,3301192978
6,46980,-67333.82,50055.426,-55803.824,2527.2058,30634.945,-31405.502,-1803.3033,-95207.14,-12887.19,-94180.77,-43080.926,-82788.46,92906.57,-86160.305,14734.521,83545.57,-23190.154,-24521.61,-80005.24,14800.877,-15318.472,4604.239,-37787.785,97907.125,-97465,2153646718
6,-42145,-6076.6274,42395.547,-6442.614,39587.844,95967.14,50196.33,-46129.906,44247.184,38960.074,-97235.37,20872.045,-33580.44,-50113.227,76044.85,-81806.56,-18675.312,45817.992,90647.25,-83057.46,95156.73,91652.34,-53896.15,-53797.566,180.30322,59402,2336847061
6,82186,12928.144,5619.7783,-52267.414,59049.39,-56520.68,-81368.7,76251.59,89439.02,44628.02,-10945.564,2426.1685,62574.656,-91276.586,-3251.007,-7917.5073,-90817.414,-23490.229,48200.305,-87434.81,13383.009,-75308.61,-3052.0684,-60332.695,-5753.906,-54726,877059780
6,-71336,85488.53,52556.45,-67231.59,53061.027,47453.95,22477.639,-26590.264,16761.186,70634.984,36058.445,-22979.436,-97252.47,99049.38,-40221.555,-70876.91,16440.404,-4233.098,-89366.95,68432.14,-69519.9,75582.33,-96625.43,-21736.729,93136.26,2561,3410190480
6,33540,20123.395,-74948.98,27330.78,5578.724,-33478.418,-14560.421,92974.195,-91935.836,-26003.848,40366.79,-19222.41,61471.77,-60422.23,-10423.307,-40104.246,-83363.61,53609.42,-5341.081,-49476.12,-32588.246,-75112.56,195.12889,67152.375,-43239.04,53150,2759439522
6,-54351,-65900.46,-12401.352,-64192.6,41782.133,-70990.61,12836.247,-52660.586,-24245.076,78600.88,53819.223,45134.76,-58936.324,-79441.72,51166.11,43979.664,-12200.245,11410.991,7893.0503,-24410.41,53699.605,45873.2,-11123.647,-25465.51,52162.848,51775,315863201
6,-89477,-137.77751,-31603.617,-95855.35,39353.81,48878.63,-59036.168,-75346.56,-91077.33,58302.703,-51275.836,-12493.152,47297.824,9684.257,-42623.668,-26384.242,-51563.586,-13546.247,59818.887,-69878.48,-61721.293,-1427.4993,42994.938,-3090.4429,-90240.664,-5039,792410045
6,-68058,84349.45,32686.773,-56957.094,26102.996,-88683.9,-30828.363,37597.434,47978.34,-96684.94,-1584.6716,25495.984,-57550.223,-35061.555,16829.537,-44403.88,-37829.71,-74045.28,-13911.627,-59235.105,39858.91,7778.94,23126.447,58408.19,-89960.01,97968,2761765454
6,-84875,84039.27,-48605.395,77936.66,68015.5,-37760.594,-47185.06,-10780.242,8722.363,-39299.72,2778.9504,32135.932,-69405.17,-34712.656,-6835.0693,56329.758,36528.64,96889.65,72724.95,35751.855,98239.37,-38279.0,-25383.83,49445.793,93796.73,2122,1783118019
6,75237,62131.145,80940.75,94451.48,-52102.77,-48642.105,-47232.367,14659.234,-1775.2937,82996.01,-93710.42,-85992.57,95574.28,-21453.879,-78157.48,-56276.215,-56991.88,40567.777,-99437.46,87423.75,-74424.29,38415.09,-30309.002,43752.707,57358.1,71553,2264051296
