id,cycle,setting1,setting2,setting3,concentration,flow_rate,compression,pressure,volume,mats,dense,volt,cap,stdev,temp,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,ttf,ts
4,-78861,97680.55,-48817.676,-5226.3213,79763.33,2815.315,68915.76,18491.174,98065.76,-19426.14,18289.236,-77580.06,-5233.306,28236.785,66781.25,90893.23,90233.99,32598.492,-38305.395,43006.438,20764.889,-99633.21,93494.13,46806.367,-32224.69,-63129,1481057154
4,82678,-14932.403,6133.674,60578.48,60431.875,-26282.709,21172.664,-99297.25,-612.03436,-54011.105,7648.415,13993.861,-6243.001,89532.38,-94688.164,-43960.89,78295.03,-87711.414,-70809.04,52537.594,22481.822,15487.965,99582.94,-768.06287,26223.037,31528,2813830161
4,-12227,28586.73,89682.41,-47329.574,88658.8,62076.957,52533.684,94370.4,-86563.31,26275.062,-51803.785,-2817.3667,72836.3,-14254.953,-39931.055,-58052.574,-82189.836,19475.375,-99441.64,8137.0205,55754.11,-91165.64,-92813.05,91037.71,-65019.887,-92058,291588865
4,-45317,-92438.15,12915.771,-11304.384,-95355.63,67740.0,59498.746,-86574.12,-27776.57,1405.0676,-9281.404,-71249.445,17942.299,-325.37827,-27433.867,-34210.387,-31803.379,-8599.69,-813.92474,54063.543,-42122.69,-77001.17,-19228.838,79741.03,87697.85,-55478,258507117
4,-2046,8410.585,-69512.695,-17064.258,-93417.22,52552.688,-93008.86,36640.312,74806.76,67576.87,62618.707,-9910.158,51772.707,47707.76,3156.2942,79721.55,33193.855,9022.296,-9704.518,2032.5558,23442.832,-22765.424,37163.05,69510.33,56475.387,-9364,1177531671
4,-20301,-90173.805,89143.94,-56806.89,96726.3,-5560.4824,22801.955,-58513.473,-66691.69,-18781.43,72841.61,79044.484,63000.227,-6292.5464,-75840.555,-35444.906,20092.973,51370.207,49972.49,35218.89,93700.28,4069.2288,94774.33,-74800.29,-78867.336,-32831,3713035470
4,-17791,33759.812,57142.06,37030.973,95180.2,-55959.074,36290.816,-45744.37,-98435.78,-62660.777,61204.176,-86005.36,55372.88,40114.066,-64959.977,71529.445,-94036.8,-12316.935,96022.27,-70183.0,36349.754,-7787.4863,88054.63,18941.494,63411.59,-5769,3851181238
4,-28297,6816.3657,-3817.3293,-14196.291,-90359.61,86430.555,-54128.438,-33353.88,-26669.947,49814.47,68837.98,93504.06,61277.285,3853.165,6762.9287,7349.214,-92306.6,-12781.671,62483.453,22570.592,-63602.7,-85591.67,-50958.812,-47122.305,-30763.133,31697,2418449432
4,-15686,85409.57,-37606.992,-76383.445,-38176.09,10215.341,-77717.086,8550.881,65709.64,-85921.445,-93737.9,-61844.31,82853.805,17476.883,82378.33,-65458.535,29250.002,96366.1,-82484.03,85527.18,96432.016,83742.25,49857.027,-31267.03,-75976.33,78403,34133638
4,-77501,-82554.914,-18168.203,-2153.5552,84199.25,-75145.45,14758.901,40631.41,87600.29,-4753.033,-53692.1,-5947.4727,-36914.53,48100.363,79444.41,-71955.86,36915.277,68216.516,-57509.53,-72474.016,21520.535,86284.805,-47776.234,-78819.58,18496.027,-94702,277693846
4,-62791,-8396.197,67937.445,65144.47,28788.805,-85823.77,-63063.168,96032.4,-71980.46,-57389.97,-87168.77,-7626.361,-24471.502,17955.785,23633.541,-12819.712,-83685.0,53127.438,-60709.293,-39347.273,25880.05,8990.505,-83454.76,79088.29,76912.15,-15646,4116290364
4,82468,8985.787,-9282.94,-87608.46,67116.86,54907.695,-63214.715,-42102.22,70576.71,12089.626,-7877.6377,22888.627,39028.906,38911.152,56025.74,39278.062,3068.3037,-13238.48,8428.055,33722.934,71497.82,46173.13,60331.33,38240.547,-64992.758,53540,
